Date,Year,Week,Flu_Index,Temperature,Total_Travellers,CO,SO2,PM10,PM2.5
2018-10-07,2018,41,27.0,21.271428571428572,16739.0,66.77777777777777,6.8125,43.0625,25.25
2018-10-14,2018,42,30.5,21.985714285714288,16739.0,66.77777777777777,6.8125,43.0625,25.25
2018-10-21,2018,43,32.1,22.057142857142857,16739.0,66.77777777777777,6.8125,43.0625,25.25
2018-10-28,2018,44,39.6,21.842857142857145,16739.0,66.77777777777777,6.8125,43.0625,25.25
2018-11-04,2018,45,31.2,18.071428571428573,16739.0,69.76190476190476,6.3125,39.526785714285715,23.75
2018-11-11,2018,46,24.5,21.685714285714287,16739.0,72.0,5.9375,36.875,22.625
2018-11-18,2018,47,29.7,21.571428571428573,16739.0,72.0,5.9375,36.875,22.625
2018-11-25,2018,48,29.5,18.97142857142857,16739.0,72.0,5.9375,36.875,22.625
2018-12-02,2018,49,44.0,18.914285714285715,16739.0,74.82539682539684,6.116071428571429,37.32142857142857,22.678571428571427
2018-12-09,2018,50,37.2,19.428571428571427,16739.0,81.88888888888889,6.5625,38.4375,22.8125
2018-12-16,2018,51,43.5,14.328571428571427,16739.0,81.88888888888889,6.5625,38.4375,22.8125
